#Number of Records in Grid: 327
#Number of Samples in Grid: 327
#Grid Interval in Scan Direction: 32
#Grid Interval in Pix Direction: 32
#  Latitude  Longitude Slant Range Incidence_Angle
 21.998666  70.651864 -9999.000000 -9999.000000
 21.998610  70.657441 -9999.000000 -9999.000000
 21.998553  70.663019 -9999.000000 -9999.000000
 21.998497  70.668596 -9999.000000 -9999.000000
 21.998440  70.674173 -9999.000000 -9999.000000
 21.998383  70.679751 -9999.000000 -9999.000000
 21.998326  70.685328 -9999.000000 -9999.000000
 21.998268  70.690905 -9999.000000 -9999.000000
 21.998211  70.696482 -9999.000000 -9999.000000
 21.998153  70.702060 -9999.000000 -9999.000000
 21.998095  70.707637 -9999.000000 -9999.000000
 21.998037  70.713214 -9999.000000 -9999.000000
 21.997979  70.718791 -9999.000000 -9999.000000
 21.997920  70.724368 -9999.000000 -9999.000000
 21.997861  70.729945 -9999.000000 -9999.000000
 21.997802  70.735522 -9999.000000 -9999.000000
 21.997743  70.741099 -9999.000000 -9999.000000
 21.997684  70.746676 -9999.000000 -9999.000000
 21.997625  70.752253 -9999.000000 -9999.000000
 21.997565  70.757830 -9999.000000 -9999.000000
 21.997505  70.763407 -9999.000000 -9999.000000
 21.997445  70.768984 -9999.000000 -9999.000000
 21.997385  70.774561 -9999.000000 -9999.000000
 21.997324  70.780138 -9999.000000 -9999.000000
 21.997264  70.785715 -9999.000000 -9999.000000
 21.997203  70.791292 -9999.000000 -9999.000000
 21.997142  70.796869 -9999.000000 -9999.000000
 21.997081  70.802446 -9999.000000 -9999.000000
 21.997020  70.808023 -9999.000000 -9999.000000
 21.996958  70.813599 -9999.000000 -9999.000000
 21.996896  70.819176 -9999.000000 -9999.000000
 21.996834  70.824753 -9999.000000 -9999.000000
 21.996772  70.830330 -9999.000000 -9999.000000
 21.996710  70.835907 -9999.000000 -9999.000000
 21.996647  70.841483 -9999.000000 -9999.000000
 21.996585  70.847060 -9999.000000 -9999.000000
 21.996522  70.852637 -9999.000000 -9999.000000
 21.996459  70.858213 -9999.000000 -9999.000000
 21.996396  70.863790 -9999.000000 -9999.000000
 21.996332  70.869367 -9999.000000 -9999.000000
 21.996269  70.874943 -9999.000000 -9999.000000
 21.996205  70.880520 -9999.000000 -9999.000000
 21.996141  70.886096 -9999.000000 -9999.000000
 21.996077  70.891673 -9999.000000 -9999.000000
 21.996012  70.897249 -9999.000000 -9999.000000
 21.995948  70.902826 -9999.000000 -9999.000000
 21.995883  70.908402 -9999.000000 -9999.000000
 21.995818  70.913979 -9999.000000 -9999.000000
 21.995753  70.919555 -9999.000000 -9999.000000
 21.995687  70.925132 -9999.000000 -9999.000000
 21.995622  70.930708 -9999.000000 -9999.000000
 21.995556  70.936284 -9999.000000 -9999.000000
 21.995490  70.941861 -9999.000000 -9999.000000
 21.995424  70.947437 -9999.000000 -9999.000000
 21.995358  70.953013 -9999.000000 -9999.000000
 21.995292  70.958590 -9999.000000 -9999.000000
 21.995225  70.964166 -9999.000000 -9999.000000
 21.995158  70.969742 -9999.000000 -9999.000000
 21.995091  70.975318 -9999.000000 -9999.000000
 21.995024  70.980894 -9999.000000 -9999.000000
 21.994956  70.986471 -9999.000000 -9999.000000
 21.994889  70.992047 -9999.000000 -9999.000000
 21.994821  70.997623 -9999.000000 -9999.000000
 21.994753  71.003199 -9999.000000 -9999.000000
 21.994685  71.008775 -9999.000000 -9999.000000
 21.994617  71.014351 -9999.000000 -9999.000000
 21.994548  71.019927 -9999.000000 -9999.000000
 21.994479  71.025503 -9999.000000 -9999.000000
 21.994410  71.031079 -9999.000000 -9999.000000
 21.994341  71.036655 -9999.000000 -9999.000000
 21.994272  71.042231 -9999.000000 -9999.000000
 21.994203  71.047807 -9999.000000 -9999.000000
 21.994133  71.053383 -9999.000000 -9999.000000
 21.994063  71.058959 -9999.000000 -9999.000000
 21.993993  71.064535 -9999.000000 -9999.000000
 21.993923  71.070111 -9999.000000 -9999.000000
 21.993852  71.075687 -9999.000000 -9999.000000
 21.993782  71.081262 -9999.000000 -9999.000000
 21.993711  71.086838 -9999.000000 -9999.000000
 21.993640  71.092414 -9999.000000 -9999.000000
 21.993569  71.097990 -9999.000000 -9999.000000
 21.993497  71.103565 -9999.000000 -9999.000000
 21.993426  71.109141 -9999.000000 -9999.000000
 21.993354  71.114717 -9999.000000 -9999.000000
 21.993282  71.120292 -9999.000000 -9999.000000
 21.993210  71.125868 -9999.000000 -9999.000000
 21.993138  71.131443 -9999.000000 -9999.000000
 21.993065  71.137019 -9999.000000 -9999.000000
 21.992992  71.142595 -9999.000000 -9999.000000
 21.992920  71.148170 -9999.000000 -9999.000000
 21.992847  71.153746 -9999.000000 -9999.000000
 21.992773  71.159321 -9999.000000 -9999.000000
 21.992700  71.164897 -9999.000000 -9999.000000
 21.992626  71.170472 -9999.000000 -9999.000000
 21.992552  71.176047 -9999.000000 -9999.000000
 21.992478  71.181623 -9999.000000 -9999.000000
 21.992404  71.187198 -9999.000000 -9999.000000
 21.992330  71.192774 -9999.000000 -9999.000000
 21.992255  71.198349 -9999.000000 -9999.000000
 21.992180  71.203924 -9999.000000 -9999.000000
 21.992106  71.209499 -9999.000000 -9999.000000
 21.992030  71.215075 -9999.000000 -9999.000000
 21.991955  71.220650 -9999.000000 -9999.000000
 21.991880  71.226225 -9999.000000 -9999.000000
 21.991804  71.231800 -9999.000000 -9999.000000
 21.991728  71.237375 -9999.000000 -9999.000000
 21.991652  71.242950 -9999.000000 -9999.000000
 21.991576  71.248526 -9999.000000 -9999.000000
 21.991499  71.254101 -9999.000000 -9999.000000
 21.991422  71.259676 -9999.000000 -9999.000000
 21.991346  71.265251 -9999.000000 -9999.000000
 21.991269  71.270826 -9999.000000 -9999.000000
 21.991191  71.276401 -9999.000000 -9999.000000
 21.991114  71.281976 -9999.000000 -9999.000000
 21.991036  71.287551 -9999.000000 -9999.000000
 21.990959  71.293125 -9999.000000 -9999.000000
 21.990881  71.298700 -9999.000000 -9999.000000
 21.990802  71.304275 -9999.000000 -9999.000000
 21.990724  71.309850 -9999.000000 -9999.000000
 21.990646  71.315425 -9999.000000 -9999.000000
 21.990567  71.321000 -9999.000000 -9999.000000
 21.990488  71.326574 -9999.000000 -9999.000000
 21.990409  71.332149 -9999.000000 -9999.000000
 21.990330  71.337724 -9999.000000 -9999.000000
 21.990250  71.343298 -9999.000000 -9999.000000
 21.990170  71.348873 -9999.000000 -9999.000000
 21.990091  71.354448 -9999.000000 -9999.000000
 21.990011  71.360022 -9999.000000 -9999.000000
 21.989930  71.365597 -9999.000000 -9999.000000
 21.989850  71.371171 -9999.000000 -9999.000000
 21.989769  71.376746 -9999.000000 -9999.000000
 21.989688  71.382321 -9999.000000 -9999.000000
 21.989608  71.387895 -9999.000000 -9999.000000
 21.989526  71.393469 -9999.000000 -9999.000000
 21.989445  71.399044 -9999.000000 -9999.000000
 21.989363  71.404618 -9999.000000 -9999.000000
 21.989282  71.410193 -9999.000000 -9999.000000
 21.989200  71.415767 -9999.000000 -9999.000000
 21.989118  71.421341 -9999.000000 -9999.000000
 21.989035  71.426916 -9999.000000 -9999.000000
 21.988953  71.432490 -9999.000000 -9999.000000
 22.000632  69.614211 -9999.000000 -9999.000000
 22.000610  69.619789 -9999.000000 -9999.000000
 22.000588  69.625368 -9999.000000 -9999.000000
 22.000567  69.630948 -9999.000000 -9999.000000
 22.000545  69.636527 -9999.000000 -9999.000000
 22.000524  69.642107 -9999.000000 -9999.000000
 22.000502  69.647686 -9999.000000 -9999.000000
 22.000480  69.653265 -9999.000000 -9999.000000
 22.000457  69.658845 -9999.000000 -9999.000000
 22.000435  69.664424 -9999.000000 -9999.000000
 22.000412  69.670003 -9999.000000 -9999.000000
 22.000389  69.675583 -9999.000000 -9999.000000
 22.000366  69.681162 -9999.000000 -9999.000000
 22.000343  69.686741 -9999.000000 -9999.000000
 22.000319  69.692321 -9999.000000 -9999.000000
 22.000296  69.697900 -9999.000000 -9999.000000
 22.000272  69.703479 -9999.000000 -9999.000000
 22.000248  69.709059 -9999.000000 -9999.000000
 22.000224  69.714638 -9999.000000 -9999.000000
 22.000199  69.720217 -9999.000000 -9999.000000
 22.000175  69.725797 -9999.000000 -9999.000000
 22.000150  69.731376 -9999.000000 -9999.000000
 22.000125  69.736955 -9999.000000 -9999.000000
 22.000100  69.742535 -9999.000000 -9999.000000
 22.000074  69.748114 -9999.000000 -9999.000000
 22.000049  69.753693 -9999.000000 -9999.000000
 22.000023  69.759272 -9999.000000 -9999.000000
 21.999997  69.764852 -9999.000000 -9999.000000
 21.999971  69.770431 -9999.000000 -9999.000000
 21.999945  69.776010 -9999.000000 -9999.000000
 21.999918  69.781589 -9999.000000 -9999.000000
 21.999892  69.787168 -9999.000000 -9999.000000
 21.999865  69.792748 -9999.000000 -9999.000000
 21.999838  69.798327 -9999.000000 -9999.000000
 21.999811  69.803906 -9999.000000 -9999.000000
 21.999783  69.809485 -9999.000000 -9999.000000
 21.999755  69.815064 -9999.000000 -9999.000000
 21.999728  69.820643 -9999.000000 -9999.000000
 21.999700  69.826223 -9999.000000 -9999.000000
 21.999671  69.831802 -9999.000000 -9999.000000
 21.999643  69.837381 -9999.000000 -9999.000000
 21.999614  69.842960 -9999.000000 -9999.000000
 21.999586  69.848539 -9999.000000 -9999.000000
 21.999557  69.854118 -9999.000000 -9999.000000
 21.999528  69.859697 -9999.000000 -9999.000000
 21.999498  69.865276 -9999.000000 -9999.000000
 21.999469  69.870855 -9999.000000 -9999.000000
 21.999439  69.876434 -9999.000000 -9999.000000
 21.999409  69.882013 -9999.000000 -9999.000000
 21.999379  69.887593 -9999.000000 -9999.000000
 21.999349  69.893172 -9999.000000 -9999.000000
 21.999318  69.898751 -9999.000000 -9999.000000
 21.999288  69.904330 -9999.000000 -9999.000000
 21.999257  69.909909 -9999.000000 -9999.000000
 21.999226  69.915488 -9999.000000 -9999.000000
 21.999194  69.921067 -9999.000000 -9999.000000
 21.999163  69.926646 -9999.000000 -9999.000000
 21.999131  69.932224 -9999.000000 -9999.000000
 21.999100  69.937803 -9999.000000 -9999.000000
 21.999068  69.943382 -9999.000000 -9999.000000
 21.999035  69.948961 -9999.000000 -9999.000000
 21.999003  69.954540 -9999.000000 -9999.000000
 21.998971  69.960119 -9999.000000 -9999.000000
 21.998938  69.965698 -9999.000000 -9999.000000
 21.998905  69.971277 -9999.000000 -9999.000000
 21.998872  69.976856 -9999.000000 -9999.000000
 21.998838  69.982435 -9999.000000 -9999.000000
 21.998805  69.988014 -9999.000000 -9999.000000
 21.998771  69.993592 -9999.000000 -9999.000000
 21.998737  69.999171 -9999.000000 -9999.000000
 21.998703  70.004750 -9999.000000 -9999.000000
 21.998669  70.010329 -9999.000000 -9999.000000
 21.998635  70.015908 -9999.000000 -9999.000000
 21.998600  70.021486 -9999.000000 -9999.000000
 21.998565  70.027065 -9999.000000 -9999.000000
 21.998530  70.032644 -9999.000000 -9999.000000
 21.998495  70.038223 -9999.000000 -9999.000000
 21.998459  70.043801 -9999.000000 -9999.000000
 21.998424  70.049380 -9999.000000 -9999.000000
 21.998388  70.054959 -9999.000000 -9999.000000
 21.998352  70.060538 -9999.000000 -9999.000000
 21.998316  70.066116 -9999.000000 -9999.000000
 21.998280  70.071695 -9999.000000 -9999.000000
 21.998243  70.077274 -9999.000000 -9999.000000
 21.998206  70.082852 -9999.000000 -9999.000000
 21.998169  70.088431 -9999.000000 -9999.000000
 21.998132  70.094010 -9999.000000 -9999.000000
 21.998095  70.099588 -9999.000000 -9999.000000
 21.998057  70.105167 -9999.000000 -9999.000000
 21.998020  70.110746 -9999.000000 -9999.000000
 21.997982  70.116324 -9999.000000 -9999.000000
 21.997944  70.121903 -9999.000000 -9999.000000
 21.997906  70.127481 -9999.000000 -9999.000000
 21.997867  70.133060 -9999.000000 -9999.000000
 21.997829  70.138638 -9999.000000 -9999.000000
 21.997790  70.144217 -9999.000000 -9999.000000
 21.997751  70.149795 -9999.000000 -9999.000000
 21.997712  70.155374 -9999.000000 -9999.000000
 21.997672  70.160952 -9999.000000 -9999.000000
 21.997633  70.166531 -9999.000000 -9999.000000
 21.997593  70.172109 -9999.000000 -9999.000000
 21.997553  70.177688 -9999.000000 -9999.000000
 21.997513  70.183266 -9999.000000 -9999.000000
 21.997472  70.188845 -9999.000000 -9999.000000
 21.997432  70.194423 -9999.000000 -9999.000000
 21.997391  70.200002 -9999.000000 -9999.000000
 21.997350  70.205580 -9999.000000 -9999.000000
 21.997309  70.211158 -9999.000000 -9999.000000
 21.997268  70.216737 -9999.000000 -9999.000000
 21.997226  70.222315 -9999.000000 -9999.000000
 21.997185  70.227893 -9999.000000 -9999.000000
 21.997143  70.233472 -9999.000000 -9999.000000
 21.997101  70.239050 -9999.000000 -9999.000000
 21.997059  70.244628 -9999.000000 -9999.000000
